,x_in,y_in,change,x_fin
47357,-240,-80,1,120
47361,-240,220,1,-180
47365,-240,200,1,-160
47369,-240,220,1,-180
47373,-240,160,1,-120
47377,-240,120,1,-80
47381,240,-180,2,-220
47385,240,-80,2,-120
47389,240,260,2,220
47393,240,220,2,180
47397,240,160,2,120
47401,240,40,2,0
47405,240,-140,2,-180
47409,240,140,2,100
47413,240,-120,2,-160
47417,240,-40,2,-80
47421,240,160,2,120
47425,240,40,2,0
47429,240,-100,2,-140
47433,240,260,2,220
47437,240,-40,2,-80
47441,240,-120,2,-160
47445,-240,-180,1,220
47449,-240,240,1,-200
47453,-240,140,1,-100
47457,-240,-40,1,80
47461,-240,100,1,-60
47465,-240,-140,1,180
47469,-240,-40,1,80
47473,-240,-140,1,180
47477,-240,200,1,-160
47481,-240,-160,1,200
47485,-240,200,1,-160
47489,-240,220,1,-180
47493,-240,-100,1,140
47497,-240,-60,1,100
47501,240,-180,2,-220
47505,240,-140,2,-180
47509,240,140,2,100
47513,240,-140,2,-180
47517,240,-20,2,-60
47521,240,220,2,180
47525,240,-100,2,-140
47529,240,-140,2,-180
47533,240,100,2,60
47537,240,220,2,180
47541,240,0,2,-40
47545,240,140,2,100
47549,240,20,2,-20
47553,240,-40,2,-80
47557,240,160,2,120
47561,240,-40,2,-80
47565,240,220,2,180
47569,240,260,2,220
47573,240,200,2,160
47577,240,-120,2,-160
47581,240,200,2,160
47585,240,-20,2,-60
47589,240,100,2,60
47593,240,-60,2,-100
47597,240,20,2,-20
47601,240,-20,2,-60
47605,240,120,2,80
47609,240,60,2,20
47613,240,180,2,140
47617,240,-60,2,-100
47621,240,240,2,200
47625,240,-20,2,-60
47629,240,120,2,80
47633,240,0,2,-40
47637,240,-20,2,-60
47641,240,-40,2,-80
47645,240,-160,2,-200
47649,240,-160,2,-200
47653,240,-60,2,-100
47657,240,240,2,200
47661,240,0,2,-40
47665,240,-120,2,-160
47669,240,240,2,200
47673,240,-60,2,-100
47677,240,-40,2,-80
47681,240,160,2,120
47685,240,120,2,80
47689,240,260,2,220
47693,240,0,2,-40
47697,240,-60,2,-100
47701,240,-160,2,-200
47705,240,80,2,40
47709,240,-40,2,-80
47713,240,240,2,200
47717,240,100,2,60
47721,240,160,2,120
47725,240,-120,2,-160
47729,240,0,2,-40
47733,240,-100,2,-140
47737,240,40,2,0
47741,240,100,2,60
47745,240,0,2,-40
47749,240,-60,2,-100
47753,240,-40,2,-80
47757,240,40,2,0
47761,240,40,2,0
47765,240,-120,2,-160
47769,240,60,2,20
47773,240,180,2,140
47777,240,40,2,0
47781,240,140,2,100
47785,240,-80,2,-120
47789,240,-140,2,-180
47793,-240,-180,1,220
47797,-240,-140,1,180
47801,-240,160,1,-120
47805,-240,100,1,-60
47809,-240,220,1,-180
47813,-240,40,1,0
47817,-240,180,1,-140
47821,-240,260,1,-220
47825,-240,240,1,-200
47829,-240,-80,1,120
47833,240,-180,2,-220
47837,240,220,2,180
47841,240,220,2,180
47845,240,80,2,40
47849,240,140,2,100
47853,240,-100,2,-140
47857,240,-100,2,-140
47861,240,280,2,240
47865,240,160,2,120
47869,240,260,2,220
47873,240,-160,2,-200
47877,240,-20,2,-60
47881,240,160,2,120
47885,240,280,2,240
47889,240,-40,2,-80
47893,240,240,2,200
47897,240,-140,2,-180
47901,240,0,2,-40
47905,240,180,2,140
47909,240,260,2,220
47913,240,40,2,0
47917,240,0,2,-40
47921,240,-140,2,-180
47925,240,280,2,240
47929,240,260,2,220
47933,240,0,2,-40
47937,240,260,2,220
47941,240,-100,2,-140
47945,240,-60,2,-100
47949,240,140,2,100
47953,240,40,2,0
47957,240,-120,2,-160
47961,240,-60,2,-100
47965,240,120,2,80
47969,240,160,2,120
47973,240,140,2,100
47977,240,-140,2,-180
